The intermediate results:
Round 1: 64456,0,0,6
Round 2: 128897,0,0,27
Round 3: 193341,0,0,45
Round 4: 257786,1,21,41
Round 5: 322271,0,0,41


The clustering results:
0,6
1,9
2,1
3,0
4,3
5,3
6,2
7,8
8,3
9,3
10,6
11,3
12,6
13,8
14,0
15,1
16,6
17,3
18,7
19,0
20,5
21,5
22,0
23,3
24,6
25,2
26,5
27,8
28,9
29,7
30,1
31,7
32,8
33,8
34,9
35,0
36,7
37,9
38,3
39,1
40,1
41,1
42,2
43,5
44,1
45,3
46,0
47,3
48,2
49,2
50,8
51,7
52,0
53,6
54,8
55,4
56,7
57,3
58,8
59,3
60,8
61,0
62,7
63,0
64,1
65,4
66,0
67,9
68,9
69,3
70,5
71,4
72,9
73,8
74,4
75,3
76,3
77,3
78,8
79,8
80,5
81,8
82,9
83,1
84,0
85,8
86,7
87,0
88,5
89,4
90,3
91,6
92,5
93,2
94,5
95,5
96,7
97,5
98,1
99,1
100,3
101,7
102,0
103,8
104,8
105,0
106,0
107,3
108,9
109,8
110,9
111,1
112,9
113,2
114,8
115,8
116,7
117,9
118,0
119,6
120,4
121,3
122,9
123,7
124,2
125,9
126,7
127,9
128,3
129,0
130,1
131,8
132,3
133,0
134,3
135,2
136,8
137,8
138,8
139,2
140,1
141,0
142,1
143,2
144,9
145,7
146,9
147,6
148,8
149,0
150,5
151,3
152,8
153,8
154,8
155,8
156,1
157,9
158,1
159,8
160,5
161,4
162,4
163,4
164,8
165,9
166,7
167,5
168,3
169,3
170,7
171,2
172,1
173,3
174,7
175,2
176,9
177,7
178,6
179,5
180,6
181,2
182,5
183,2
184,1
185,4
186,8
187,9
188,2
189,0
190,1
191,6
192,8
193,9
194,1
195,1
196,5
197,2
198,3
199,6
200,7
201,7
202,7
203,7
204,4
205,3
206,6
207,2
208,3
209,0
210,4
211,2
212,5
213,6
214,6
215,9
216,6
217,3
218,8
219,1
220,7
221,7
222,6
223,6
224,7
225,7
226,9
227,5
228,2
229,7
230,6
231,9
232,6
233,8
234,3
235,3
236,8
237,0
238,0
239,9
240,8
241,5
